date,temperature_2m,cloud_cover,global_tilted_irradiance
2025-04-30 00:00:00+00:00,10.304501,100.0,0.0
2025-04-30 01:00:00+00:00,9.7545,97.0,0.0
2025-04-30 02:00:00+00:00,9.6545,99.0,0.0
2025-04-30 03:00:00+00:00,8.8545,99.0,0.0
2025-04-30 04:00:00+00:00,8.9045,99.0,17.424309
2025-04-30 05:00:00+00:00,10.7045,95.0,69.23669
2025-04-30 06:00:00+00:00,12.8545,20.0,239.56335
2025-04-30 07:00:00+00:00,14.6045,4.0,482.39374
2025-04-30 08:00:00+00:00,16.5545,33.0,593.5038
2025-04-30 09:00:00+00:00,18.654501,29.0,740.3531
2025-04-30 10:00:00+00:00,19.4545,98.0,455.11218
2025-04-30 11:00:00+00:00,19.904501,99.0,845.33203
2025-04-30 12:00:00+00:00,20.2045,40.0,830.0059
2025-04-30 13:00:00+00:00,20.5045,45.0,756.3994
2025-04-30 14:00:00+00:00,20.3045,40.0,633.7704
2025-04-30 15:00:00+00:00,19.8045,7.0,491.59927
2025-04-30 16:00:00+00:00,19.0045,1.0,329.39935
2025-04-30 17:00:00+00:00,17.5545,98.0,151.42586
2025-04-30 18:00:00+00:00,15.6545,27.0,22.992369
2025-04-30 19:00:00+00:00,13.9045,75.0,0.0
2025-04-30 20:00:00+00:00,12.7545,77.0,0.0
2025-04-30 21:00:00+00:00,11.7045,98.0,0.0
2025-04-30 22:00:00+00:00,11.0045,100.0,0.0
2025-04-30 23:00:00+00:00,10.554501,9.0,0.0
2025-05-01 00:00:00+00:00,9.0045,1.0,0.0
2025-05-01 01:00:00+00:00,8.0045,0.0,0.0
2025-05-01 02:00:00+00:00,7.6545,41.0,0.0
2025-05-01 03:00:00+00:00,6.5545,0.0,0.0
2025-05-01 04:00:00+00:00,6.8045,0.0,26.621052
2025-05-01 05:00:00+00:00,9.4045,0.0,155.95876
2025-05-01 06:00:00+00:00,11.5045,0.0,326.52917
2025-05-01 07:00:00+00:00,13.804501,0.0,489.9826
2025-05-01 08:00:00+00:00,16.404501,5.0,393.51245
2025-05-01 09:00:00+00:00,17.0545,92.0,268.48578
2025-05-01 10:00:00+00:00,18.2045,62.0,270.24142
2025-05-01 11:00:00+00:00,18.7045,55.0,233.51062
2025-05-01 12:00:00+00:00,19.3045,85.0,229.49573
2025-05-01 13:00:00+00:00,19.8045,69.0,349.3766
2025-05-01 14:00:00+00:00,19.6045,35.0,193.44185
2025-05-01 15:00:00+00:00,19.2545,0.0,176.97725
2025-05-01 16:00:00+00:00,18.6045,18.0,137.36984
2025-05-01 17:00:00+00:00,17.404501,94.0,127.35899
2025-05-01 18:00:00+00:00,15.0045,44.0,26.302204
2025-05-01 19:00:00+00:00,13.054501,19.0,0.0
2025-05-01 20:00:00+00:00,11.7045,0.0,0.0
2025-05-01 21:00:00+00:00,10.2545,16.0,0.0
2025-05-01 22:00:00+00:00,9.304501,5.0,0.0
2025-05-01 23:00:00+00:00,8.3545,4.0,0.0
2025-05-02 00:00:00+00:00,7.3545003,0.0,0.0
2025-05-02 01:00:00+00:00,6.6045003,20.0,0.0
2025-05-02 02:00:00+00:00,6.4545,60.0,0.0
2025-05-02 03:00:00+00:00,5.5545,23.0,0.0
2025-05-02 04:00:00+00:00,5.6045003,60.0,27.952776
2025-05-02 05:00:00+00:00,8.2045,41.0,159.4472
2025-05-02 06:00:00+00:00,11.304501,19.0,329.11914
2025-05-02 07:00:00+00:00,14.4045,90.0,459.95438
2025-05-02 08:00:00+00:00,17.0545,5.0,590.3419
2025-05-02 09:00:00+00:00,19.0045,40.0,767.96356
2025-05-02 10:00:00+00:00,20.3045,77.0,815.54517
2025-05-02 11:00:00+00:00,21.3545,96.0,879.52997
2025-05-02 12:00:00+00:00,21.7545,77.0,477.6618
2025-05-02 13:00:00+00:00,21.904501,75.0,758.244
2025-05-02 14:00:00+00:00,22.154501,73.0,637.5167
2025-05-02 15:00:00+00:00,22.0545,100.0,384.37756
2025-05-02 16:00:00+00:00,21.7045,98.0,278.18854
2025-05-02 17:00:00+00:00,20.2545,100.0,133.59201
2025-05-02 18:00:00+00:00,17.9545,92.0,25.071207
2025-05-02 19:00:00+00:00,16.8045,27.0,0.0
2025-05-02 20:00:00+00:00,17.904501,100.0,0.0
2025-05-02 21:00:00+00:00,17.404501,100.0,0.0
2025-05-02 22:00:00+00:00,17.3545,0.0,0.0
2025-05-02 23:00:00+00:00,16.2545,0.0,0.0
2025-05-03 00:00:00+00:00,15.2045,80.0,0.0
2025-05-03 01:00:00+00:00,14.1045,0.0,0.0
2025-05-03 02:00:00+00:00,13.4545,100.0,0.0
2025-05-03 03:00:00+00:00,13.5045,0.0,0.0
2025-05-03 04:00:00+00:00,13.3545,0.0,29.760023
2025-05-03 05:00:00+00:00,14.9545,100.0,104.8629
2025-05-03 06:00:00+00:00,14.9545,0.0,66.86561
2025-05-03 07:00:00+00:00,16.8545,100.0,320.5882
2025-05-03 08:00:00+00:00,16.6045,99.0,135.07417
2025-05-03 09:00:00+00:00,18.1045,100.0,229.28284
2025-05-03 10:00:00+00:00,20.404501,1.0,333.3412
2025-05-03 11:00:00+00:00,22.3545,100.0,644.60187
2025-05-03 12:00:00+00:00,24.7545,0.0,741.7721
2025-05-03 13:00:00+00:00,23.7545,1.0,678.013
2025-05-03 14:00:00+00:00,19.0045,99.0,323.08292
2025-05-03 15:00:00+00:00,21.2545,49.0,442.72107
2025-05-03 16:00:00+00:00,21.1045,0.0,309.73135
2025-05-03 17:00:00+00:00,19.904501,0.0,158.50262
2025-05-03 18:00:00+00:00,18.0545,81.0,30.3233
2025-05-03 19:00:00+00:00,17.904501,100.0,0.0
2025-05-03 20:00:00+00:00,17.8045,100.0,0.0
2025-05-03 21:00:00+00:00,16.9545,100.0,0.0
2025-05-03 22:00:00+00:00,16.654501,100.0,0.0
2025-05-03 23:00:00+00:00,16.0545,100.0,0.0
2025-05-04 00:00:00+00:00,15.1545,100.0,0.0
2025-05-04 01:00:00+00:00,14.5045,100.0,0.0
2025-05-04 02:00:00+00:00,14.3545,53.0,0.0
2025-05-04 03:00:00+00:00,13.6545,99.0,0.0
2025-05-04 04:00:00+00:00,14.4045,19.0,27.050373
2025-05-04 05:00:00+00:00,15.9045,0.0,153.2798
2025-05-04 06:00:00+00:00,16.904501,7.0,262.70853
2025-05-04 07:00:00+00:00,18.6045,78.0,168.38402
2025-05-04 08:00:00+00:00,17.5045,100.0,171.16605
2025-05-04 09:00:00+00:00,16.4545,100.0,68.26695
2025-05-04 10:00:00+00:00,17.9545,100.0,276.0077
2025-05-04 11:00:00+00:00,16.0545,100.0,328.50024
2025-05-04 12:00:00+00:00,15.1045,100.0,217.21262
2025-05-04 13:00:00+00:00,15.4045,32.0,157.23141
2025-05-04 14:00:00+00:00,14.6545,100.0,215.87021
2025-05-04 15:00:00+00:00,15.554501,20.0,188.36917
2025-05-04 16:00:00+00:00,15.304501,100.0,202.24458
2025-05-04 17:00:00+00:00,14.6045,100.0,22.917646
2025-05-04 18:00:00+00:00,13.8545,100.0,2.1195245
2025-05-04 19:00:00+00:00,13.6545,35.0,0.0
2025-05-04 20:00:00+00:00,12.804501,100.0,0.0
2025-05-04 21:00:00+00:00,11.6545,100.0,0.0
2025-05-04 22:00:00+00:00,11.2545,100.0,0.0
2025-05-04 23:00:00+00:00,11.1045,100.0,0.0
2025-05-05 00:00:00+00:00,10.4045,95.0,0.0
2025-05-05 01:00:00+00:00,9.2545,100.0,0.0
2025-05-05 02:00:00+00:00,8.4045,100.0,0.0
2025-05-05 03:00:00+00:00,8.3545,100.0,0.0
2025-05-05 04:00:00+00:00,8.6545,99.0,14.903956
2025-05-05 05:00:00+00:00,9.5045,18.0,96.91013
2025-05-05 06:00:00+00:00,10.1545,100.0,139.78001
2025-05-05 07:00:00+00:00,10.3545,100.0,167.6448
2025-05-05 08:00:00+00:00,9.9545,100.0,129.9968
2025-05-05 09:00:00+00:00,9.7545,100.0,98.94556
2025-05-05 10:00:00+00:00,10.1545,100.0,169.46556
2025-05-05 11:00:00+00:00,10.6545,100.0,216.28801
2025-05-05 12:00:00+00:00,11.6545,100.0,288.42868
2025-05-05 13:00:00+00:00,11.1545,100.0,77.263725
2025-05-05 14:00:00+00:00,11.3545,100.0,101.531876
2025-05-05 15:00:00+00:00,11.4545,100.0,111.914635
2025-05-05 16:00:00+00:00,11.2545,100.0,74.462234
2025-05-05 17:00:00+00:00,10.1545,100.0,33.307606
2025-05-05 18:00:00+00:00,9.7545,100.0,9.339501
2025-05-05 19:00:00+00:00,9.5045,100.0,0.0
2025-05-05 20:00:00+00:00,9.0045,100.0,0.0
2025-05-05 21:00:00+00:00,8.6045,100.0,0.0
2025-05-05 22:00:00+00:00,8.4545,100.0,0.0
2025-05-05 23:00:00+00:00,8.3545,100.0,0.0
2025-05-06 00:00:00+00:00,8.1545,100.0,0.0
2025-05-06 01:00:00+00:00,7.5545,100.0,0.0
2025-05-06 02:00:00+00:00,6.8545003,100.0,0.0
2025-05-06 03:00:00+00:00,6.5545,100.0,0.0
2025-05-06 04:00:00+00:00,6.4045,100.0,2.116313
2025-05-06 05:00:00+00:00,6.3545003,100.0,11.051306
2025-05-06 06:00:00+00:00,6.7045,100.0,36.107876
2025-05-06 07:00:00+00:00,7.0545,100.0,75.23978
2025-05-06 08:00:00+00:00,7.3545003,100.0,88.541405
2025-05-06 09:00:00+00:00,7.6045003,100.0,89.188
2025-05-06 10:00:00+00:00,7.7545004,100.0,80.73245
2025-05-06 11:00:00+00:00,8.054501,100.0,97.91832
2025-05-06 12:00:00+00:00,8.554501,100.0,97.80397
2025-05-06 13:00:00+00:00,8.804501,100.0,58.26831
2025-05-06 14:00:00+00:00,8.804501,100.0,38.783176
